🚀 作业开始: psoja_assembly_4
⏰ 开始时间: 2026-01-15 14:53:37
📍 执行命令: bash 99.第一批36个样品批量处理/A1-3.sh
==========================================
2026-01-15 14:53:37.707 - INFO - ================================================================================
2026-01-15 14:53:37.707 - INFO - 开始基因组组装流程|Starting Genome Assembly Pipeline
2026-01-15 14:53:37.707 - INFO - ================================================================================
2026-01-15 14:53:37.707 - INFO - 检查依赖软件|Checking dependencies
2026-01-15 14:53:37.856 - INFO - 组装配置|Assembly Configuration:
2026-01-15 14:53:37.856 - INFO -   样本名称|Sample Name: A1-3
2026-01-15 14:53:37.856 - INFO -   基因组大小|Genome Size: 85m
2026-01-15 14:53:37.856 - INFO -   倍性|Ploidy: 2
2026-01-15 14:53:37.856 - INFO -   线程数|Threads: 64
2026-01-15 14:53:37.856 - INFO -   HiFi数据|HiFi Data: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/clean/hifi/A1-3.clean.fq.gz
2026-01-15 14:53:37.856 - INFO -   组装模式|Assembly Mode: HiFi only
2026-01-15 14:53:37.856 - INFO -   工作目录|Work Directory: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/A1-3
2026-01-15 14:53:37.857 - INFO - ================================================================================
2026-01-15 14:53:37.857 - INFO - 断点续传模式|Resume mode: enabled
2026-01-15 14:53:37.857 - INFO - ================================================================================
2026-01-15 14:53:37.857 - INFO - 检查已完成步骤|Checking completed steps:
2026-01-15 14:53:37.857 - INFO -   [未完成|pending] Hifiasm组装|Hifiasm assembly
2026-01-15 14:53:37.857 - INFO -   [未完成|pending] GFA转FASTA|GFA to FASTA conversion
2026-01-15 14:53:37.857 - INFO -   [未完成|pending] Contig-reads映射生成|Contig-reads mapping generated
2026-01-15 14:53:37.857 - INFO - ================================================================================
2026-01-15 14:53:37.857 - INFO - 运行hifiasm组装(仅HiFi模式)|Running hifiasm assembly (HiFi only mode)
2026-01-15 14:53:37.857 - INFO - 执行命令|Executing command: hifiasm -o A1-3 -t 64 --hg-size 85m --n-hap 2 -l 3 /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/clean/hifi/A1-3.clean.fq.gz 2>&1|tee /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/A1-3/03.logs/hifiasm_assembly.log
[M::ha_analyze_count] lowest: count[38] = 2797
[M::ha_analyze_count] highest: count[272] = 561533
[M::ha_hist_line]     2: ****************************************************************************************************> 5265081
[M::ha_hist_line]     3: ****************************************************************************************************> 1135244
[M::ha_hist_line]     4: ****************************************************************************************** 504933
[M::ha_hist_line]     5: *************************************************** 284859
[M::ha_hist_line]     6: ********************************* 187047
[M::ha_hist_line]     7: *********************** 131943
[M::ha_hist_line]     8: **************** 92542
[M::ha_hist_line]     9: ************* 73980
[M::ha_hist_line]    10: ********** 56977
[M::ha_hist_line]    11: ******** 46919
[M::ha_hist_line]    12: ******* 38045
[M::ha_hist_line]    13: ****** 32098
[M::ha_hist_line]    14: ***** 27897
[M::ha_hist_line]    15: **** 24632
[M::ha_hist_line]    16: **** 22002
[M::ha_hist_line]    17: *** 19595
[M::ha_hist_line]    18: *** 17730
[M::ha_hist_line]    19: *** 16089
[M::ha_hist_line]    20: ** 13935
[M::ha_hist_line]    21: ** 11873
[M::ha_hist_line]    22: ** 11731
[M::ha_hist_line]    23: ** 11487
[M::ha_hist_line]    24: ** 10081
[M::ha_hist_line]    25: ** 8927
[M::ha_hist_line]    26: * 8310
[M::ha_hist_line]    27: * 7809
[M::ha_hist_line]    28: * 6517
[M::ha_hist_line]    29: * 5904
[M::ha_hist_line]    30: * 5491
[M::ha_hist_line]    31: * 4956
[M::ha_hist_line]    32: * 4852
[M::ha_hist_line]    33: * 4249
[M::ha_hist_line]    34: * 4181
[M::ha_hist_line]    35: * 3939
[M::ha_hist_line]    36: * 3499
[M::ha_hist_line]    37: * 3284
[M::ha_hist_line]    38:  2797
[M::ha_hist_line]    39: * 3017
[M::ha_hist_line]    40: * 3203
[M::ha_hist_line]    41: * 2831
[M::ha_hist_line]    42:  2500
[M::ha_hist_line]    43:  2208
[M::ha_hist_line]    44:  2102
[M::ha_hist_line]    45:  1953
[M::ha_hist_line]    46:  1766
[M::ha_hist_line]    47:  1783
[M::ha_hist_line]    48:  1850
[M::ha_hist_line]    49:  1787
[M::ha_hist_line]    50:  1432
[M::ha_hist_line]    51:  1481
[M::ha_hist_line]    52:  1483
[M::ha_hist_line]    53:  1500
[M::ha_hist_line]    54:  1106
[M::ha_hist_line]    55:  1192
[M::ha_hist_line]    56:  1305
[M::ha_hist_line]    57:  973
[M::ha_hist_line]    58:  868
[M::ha_hist_line]    59:  957
[M::ha_hist_line]    60:  913
[M::ha_hist_line]    61:  892
[M::ha_hist_line]    62:  785
[M::ha_hist_line]    63:  606
[M::ha_hist_line]    64:  606
[M::ha_hist_line]    65:  521
[M::ha_hist_line]    66:  714
[M::ha_hist_line]    67:  743
[M::ha_hist_line]    68:  762
[M::ha_hist_line]    69:  600
[M::ha_hist_line]    70:  502
[M::ha_hist_line]    71:  571
[M::ha_hist_line]    72:  485
[M::ha_hist_line]    73:  511
[M::ha_hist_line]    74:  424
[M::ha_hist_line]    75:  580
[M::ha_hist_line]    76:  523
[M::ha_hist_line]    77:  480
[M::ha_hist_line]    78:  389
[M::ha_hist_line]    79:  496
[M::ha_hist_line]    80:  475
[M::ha_hist_line]    81:  435
[M::ha_hist_line]    82:  413
[M::ha_hist_line]    83:  373
[M::ha_hist_line]    84:  420
[M::ha_hist_line]    85:  607
[M::ha_hist_line]    86:  526
[M::ha_hist_line]    87:  470
[M::ha_hist_line]    88:  413
[M::ha_hist_line]    89:  503
[M::ha_hist_line]    90:  406
[M::ha_hist_line]    91:  444
[M::ha_hist_line]    92:  335
[M::ha_hist_line]    93:  407
[M::ha_hist_line]    94:  551
[M::ha_hist_line]    95:  568
[M::ha_hist_line]    96:  548
[M::ha_hist_line]    97:  529
[M::ha_hist_line]    98:  559
[M::ha_hist_line]    99:  458
[M::ha_hist_line]   100:  478
[M::ha_hist_line]   101:  418
[M::ha_hist_line]   102:  511
[M::ha_hist_line]   103:  554
[M::ha_hist_line]   104:  449
[M::ha_hist_line]   105:  486
[M::ha_hist_line]   106:  506
[M::ha_hist_line]   107:  609
[M::ha_hist_line]   108:  474
[M::ha_hist_line]   109:  547
[M::ha_hist_line]   110:  751
[M::ha_hist_line]   111:  852
[M::ha_hist_line]   112:  694
[M::ha_hist_line]   113:  652
[M::ha_hist_line]   114:  745
[M::ha_hist_line]   115:  926
[M::ha_hist_line]   116:  1029
[M::ha_hist_line]   117:  785
[M::ha_hist_line]   118:  1152
[M::ha_hist_line]   119:  1270
[M::ha_hist_line]   120:  1578
[M::ha_hist_line]   121:  1744
[M::ha_hist_line]   122:  1771
[M::ha_hist_line]   123:  2078
[M::ha_hist_line]   124:  1967
[M::ha_hist_line]   125:  2243
[M::ha_hist_line]   126:  2252
[M::ha_hist_line]   127:  1875
[M::ha_hist_line]   128:  2225
[M::ha_hist_line]   129: * 2995
[M::ha_hist_line]   130: * 2843
[M::ha_hist_line]   131: * 3413
[M::ha_hist_line]   132: * 3343
[M::ha_hist_line]   133:  2589
[M::ha_hist_line]   134:  2725
[M::ha_hist_line]   135: * 2957
[M::ha_hist_line]   136:  2687
[M::ha_hist_line]   137:  2794
[M::ha_hist_line]   138: * 3009
[M::ha_hist_line]   139: * 2905
[M::ha_hist_line]   140:  2759
[M::ha_hist_line]   141:  2673
[M::ha_hist_line]   142: * 2883
[M::ha_hist_line]   143: * 3386
[M::ha_hist_line]   144: * 3348
[M::ha_hist_line]   145: * 3541
[M::ha_hist_line]   146: * 3848
[M::ha_hist_line]   147: * 4194
[M::ha_hist_line]   148: * 4156
[M::ha_hist_line]   149: * 5276
[M::ha_hist_line]   150: * 5312
[M::ha_hist_line]   151: * 5701
[M::ha_hist_line]   152: * 6108
[M::ha_hist_line]   153: * 6449
[M::ha_hist_line]   154: * 6227
[M::ha_hist_line]   155: * 6037
[M::ha_hist_line]   156: * 7276
[M::ha_hist_line]   157: * 7805
[M::ha_hist_line]   158: ** 8494
[M::ha_hist_line]   159: * 8397
[M::ha_hist_line]   160: ** 9089
[M::ha_hist_line]   161: ** 9240
[M::ha_hist_line]   162: ** 9544
[M::ha_hist_line]   163: ** 10374
[M::ha_hist_line]   164: ** 10372
[M::ha_hist_line]   165: ** 11247
[M::ha_hist_line]   166: ** 11293
[M::ha_hist_line]   167: ** 12242
[M::ha_hist_line]   168: ** 11681
[M::ha_hist_line]   169: ** 11031
[M::ha_hist_line]   170: ** 11588
[M::ha_hist_line]   171: ** 10616
[M::ha_hist_line]   172: ** 11471
[M::ha_hist_line]   173: ** 12310
[M::ha_hist_line]   174: ** 12878
[M::ha_hist_line]   175: ** 14030
[M::ha_hist_line]   176: *** 15247
[M::ha_hist_line]   177: *** 16461
[M::ha_hist_line]   178: *** 16624
[M::ha_hist_line]   179: *** 17380
[M::ha_hist_line]   180: *** 17827
[M::ha_hist_line]   181: *** 17924
[M::ha_hist_line]   182: *** 17631
[M::ha_hist_line]   183: *** 18792
[M::ha_hist_line]   184: *** 19184
[M::ha_hist_line]   185: **** 19794
[M::ha_hist_line]   186: **** 21531
[M::ha_hist_line]   187: **** 23247
[M::ha_hist_line]   188: **** 24798
[M::ha_hist_line]   189: ***** 27157
[M::ha_hist_line]   190: ***** 28866
[M::ha_hist_line]   191: ****** 31134
[M::ha_hist_line]   192: ****** 31964
[M::ha_hist_line]   193: ****** 33022
[M::ha_hist_line]   194: ****** 35804
[M::ha_hist_line]   195: ******* 36910
[M::ha_hist_line]   196: ******* 36809
[M::ha_hist_line]   197: ******* 38119
[M::ha_hist_line]   198: ******* 39835
[M::ha_hist_line]   199: ******* 41534
[M::ha_hist_line]   200: ******** 43179
[M::ha_hist_line]   201: ******** 46322
[M::ha_hist_line]   202: ********* 47943
[M::ha_hist_line]   203: ********* 49867
[M::ha_hist_line]   204: ********* 52594
[M::ha_hist_line]   205: ********** 54491
[M::ha_hist_line]   206: *********** 59804
[M::ha_hist_line]   207: *********** 62426
[M::ha_hist_line]   208: ************ 67735
[M::ha_hist_line]   209: ************ 69100
[M::ha_hist_line]   210: ************* 72659
[M::ha_hist_line]   211: ************* 73921
[M::ha_hist_line]   212: ************** 78726
[M::ha_hist_line]   213: *************** 83148
[M::ha_hist_line]   214: *************** 86085
[M::ha_hist_line]   215: **************** 91980
[M::ha_hist_line]   216: ***************** 96061
[M::ha_hist_line]   217: ****************** 101635
[M::ha_hist_line]   218: ****************** 102888
[M::ha_hist_line]   219: ******************* 107269
[M::ha_hist_line]   220: ******************** 110930
[M::ha_hist_line]   221: ********************* 117656
[M::ha_hist_line]   222: ********************** 123755
[M::ha_hist_line]   223: *********************** 127647
[M::ha_hist_line]   224: ************************ 133024
[M::ha_hist_line]   225: ************************ 136081
[M::ha_hist_line]   226: ************************** 144555
[M::ha_hist_line]   227: **************************** 154546
[M::ha_hist_line]   228: ***************************** 160303
[M::ha_hist_line]   229: ****************************** 166053
[M::ha_hist_line]   230: ********************************* 182634
[M::ha_hist_line]   231: ********************************** 191027
[M::ha_hist_line]   232: ************************************ 202122
[M::ha_hist_line]   233: ************************************* 210553
[M::ha_hist_line]   234: *************************************** 216560
[M::ha_hist_line]   235: **************************************** 223104
[M::ha_hist_line]   236: ***************************************** 228137
[M::ha_hist_line]   237: ****************************************** 235032
[M::ha_hist_line]   238: ******************************************* 240229
[M::ha_hist_line]   239: ********************************************* 253025
[M::ha_hist_line]   240: *********************************************** 264543
[M::ha_hist_line]   241: ************************************************* 274008
[M::ha_hist_line]   242: *************************************************** 287692
[M::ha_hist_line]   243: ***************************************************** 297620
[M::ha_hist_line]   244: ****************************************************** 305750
[M::ha_hist_line]   245: ******************************************************* 310472
[M::ha_hist_line]   246: ********************************************************** 324287
[M::ha_hist_line]   247: *********************************************************** 331711
[M::ha_hist_line]   248: ************************************************************* 340449
[M::ha_hist_line]   249: ************************************************************** 349477
[M::ha_hist_line]   250: ***************************************************************** 364833
[M::ha_hist_line]   251: ******************************************************************* 377729
[M::ha_hist_line]   252: ********************************************************************** 391148
[M::ha_hist_line]   253: ************************************************************************ 403742
[M::ha_hist_line]   254: ************************************************************************* 409504
[M::ha_hist_line]   255: **************************************************************************** 424027
[M::ha_hist_line]   256: ****************************************************************************** 437551
[M::ha_hist_line]   257: ******************************************************************************** 450065
[M::ha_hist_line]   258: ********************************************************************************** 462959
[M::ha_hist_line]   259: ************************************************************************************ 473169
[M::ha_hist_line]   260: ************************************************************************************** 484307
[M::ha_hist_line]   261: ***************************************************************************************** 498286
[M::ha_hist_line]   262: ******************************************************************************************* 508611
[M::ha_hist_line]   263: ******************************************************************************************* 513165
[M::ha_hist_line]   264: ******************************************************************************************** 518739
[M::ha_hist_line]   265: ********************************************************************************************** 528165
[M::ha_hist_line]   266: ************************************************************************************************ 536696
[M::ha_hist_line]   267: ************************************************************************************************* 544785
[M::ha_hist_line]   268: ************************************************************************************************** 549254
[M::ha_hist_line]   269: ************************************************************************************************** 550059
[M::ha_hist_line]   270: *************************************************************************************************** 557579
[M::ha_hist_line]   271: *************************************************************************************************** 557417
[M::ha_hist_line]   272: **************************************************************************************************** 561533
[M::ha_hist_line]   273: *************************************************************************************************** 556952
[M::ha_hist_line]   274: *************************************************************************************************** 556618
