2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 开始KMERIA完整分析流程|Starting KMERIA complete analysis pipeline
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 执行步骤|Executing step: COUNT
2026-01-17 13:24:40.235 - INFO - ============================================================
2026-01-17 13:24:40.235 - INFO - 开始k-mer计数|Starting k-mer counting
2026-01-17 13:24:40.235 - INFO - 样本数量|Sample count: 181
2026-01-17 13:24:41.402 - INFO - 找到|Found 181 个样本的FASTQ文件|samples with FASTQ files
2026-01-17 13:24:41.403 - INFO - 处理批次|Processing batch 1/46: 4 个样本|samples
2026-01-17 13:24:41.413 - INFO - 跳过样本|Skip sample: GDW012A (输出文件已存在|output file exists: output/01_kmer_counts/GDW012A_k31.bin, 14555.47M)
2026-01-17 13:24:41.423 - INFO - 跳过样本|Skip sample: SDW020A (输出文件已存在|output file exists: output/01_kmer_counts/SDW020A_k31.bin, 11218.21M)
2026-01-17 13:24:41.423 - INFO - 跳过样本|Skip sample: SDW115A (输出文件已存在|output file exists: output/01_kmer_counts/SDW115A_k31.bin, 8101.80M)
2026-01-17 13:24:41.424 - INFO - 跳过样本|Skip sample: SDW144A (输出文件已存在|output file exists: output/01_kmer_counts/SDW144A_k31.bin, 8590.02M)
2026-01-17 13:24:41.424 - INFO - 处理批次|Processing batch 2/46: 4 个样本|samples
2026-01-17 13:24:41.424 - INFO - 跳过样本|Skip sample: SDW145A (输出文件已存在|output file exists: output/01_kmer_counts/SDW145A_k31.bin, 8234.40M)
2026-01-17 13:24:41.424 - INFO - 跳过样本|Skip sample: SDW141A (输出文件已存在|output file exists: output/01_kmer_counts/SDW141A_k31.bin, 8435.82M)
2026-01-17 13:24:41.424 - INFO - 跳过样本|Skip sample: SDW142-1A (输出文件已存在|output file exists: output/01_kmer_counts/SDW142-1A_k31.bin, 8861.05M)
