🚀 作业开始: assembly_psoja_91
⏰ 开始时间: 2026-01-20 14:15:42
📍 执行命令: bash 13.所有样品批量处理/N8-4.sh
==========================================
2026-01-20 14:15:42.776 - INFO - ================================================================================
2026-01-20 14:15:42.777 - INFO - 开始基因组组装流程|Starting Genome Assembly Pipeline
2026-01-20 14:15:42.777 - INFO - ================================================================================
2026-01-20 14:15:42.777 - INFO - 检查依赖软件|Checking dependencies
2026-01-20 14:15:42.917 - INFO - 组装配置|Assembly Configuration:
2026-01-20 14:15:42.917 - INFO -   样本名称|Sample Name: N8-4
2026-01-20 14:15:42.917 - INFO -   基因组大小|Genome Size: 85m
2026-01-20 14:15:42.917 - INFO -   倍性|Ploidy: 2
2026-01-20 14:15:42.917 - INFO -   线程数|Threads: 64
2026-01-20 14:15:42.917 - INFO -   HiFi数据|HiFi Data: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/clean/hifi/N8-4.clean.fq.gz
2026-01-20 14:15:42.917 - INFO -   组装模式|Assembly Mode: HiFi only
2026-01-20 14:15:42.917 - INFO -   工作目录|Work Directory: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/N8-4
2026-01-20 14:15:42.917 - INFO - ================================================================================
2026-01-20 14:15:42.917 - INFO - 断点续传模式|Resume mode: enabled
2026-01-20 14:15:42.917 - INFO - ================================================================================
2026-01-20 14:15:42.917 - INFO - 检查已完成步骤|Checking completed steps:
2026-01-20 14:15:42.917 - INFO -   [未完成|pending] Hifiasm组装|Hifiasm assembly
2026-01-20 14:15:42.917 - INFO -   [未完成|pending] GFA转FASTA|GFA to FASTA conversion
2026-01-20 14:15:42.917 - INFO -   [未完成|pending] Contig-reads映射生成|Contig-reads mapping generated
2026-01-20 14:15:42.917 - INFO - ================================================================================
2026-01-20 14:15:42.917 - INFO - 运行hifiasm组装(仅HiFi模式)|Running hifiasm assembly (HiFi only mode)
2026-01-20 14:15:42.917 - INFO - 执行命令|Executing command: hifiasm -o N8-4 -t 64 --hg-size 85m --n-hap 2 -l 3 /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/clean/hifi/N8-4.clean.fq.gz 2>&1|tee /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/N8-4/03.logs/hifiasm_assembly.log
[M::ha_analyze_count] lowest: count[27] = 2668
[M::ha_analyze_count] highest: count[288] = 586362
[M::ha_hist_line]     2: ****************************************************************************************************> 3381035
[M::ha_hist_line]     3: ****************************************************************************************************> 774570
[M::ha_hist_line]     4: *********************************************************** 347226
[M::ha_hist_line]     5: *********************************** 202697
[M::ha_hist_line]     6: ********************** 128725
[M::ha_hist_line]     7: *************** 87760
[M::ha_hist_line]     8: *********** 63545
[M::ha_hist_line]     9: ******** 49066
[M::ha_hist_line]    10: ******* 38393
[M::ha_hist_line]    11: ***** 32045
[M::ha_hist_line]    12: **** 25696
[M::ha_hist_line]    13: *** 20437
[M::ha_hist_line]    14: *** 15762
[M::ha_hist_line]    15: ** 12660
[M::ha_hist_line]    16: ** 10159
[M::ha_hist_line]    17: ** 9497
[M::ha_hist_line]    18: * 8676
[M::ha_hist_line]    19: * 6859
[M::ha_hist_line]    20: * 6330
[M::ha_hist_line]    21: * 5660
[M::ha_hist_line]    22: * 5222
[M::ha_hist_line]    23: * 4549
[M::ha_hist_line]    24: * 3896
[M::ha_hist_line]    25: * 3480
[M::ha_hist_line]    26: * 3159
[M::ha_hist_line]    27:  2668
[M::ha_hist_line]    28:  2871
[M::ha_hist_line]    29:  2167
[M::ha_hist_line]    30:  2177
[M::ha_hist_line]    31:  1886
[M::ha_hist_line]    32:  1743
[M::ha_hist_line]    33:  1680
[M::ha_hist_line]    34:  1371
[M::ha_hist_line]    35:  1422
[M::ha_hist_line]    36:  1354
[M::ha_hist_line]    37:  1285
[M::ha_hist_line]    38:  1168
[M::ha_hist_line]    39:  793
[M::ha_hist_line]    40:  877
[M::ha_hist_line]    41:  698
[M::ha_hist_line]    42:  582
[M::ha_hist_line]    43:  760
[M::ha_hist_line]    44:  610
[M::ha_hist_line]    45:  454
[M::ha_hist_line]    46:  463
[M::ha_hist_line]    47:  519
[M::ha_hist_line]    48:  450
[M::ha_hist_line]    49:  486
[M::ha_hist_line]    50:  462
[M::ha_hist_line]    51:  389
[M::ha_hist_line]    52:  306
[M::ha_hist_line]    53:  274
[M::ha_hist_line]    54:  255
[M::ha_hist_line]    55:  378
[M::ha_hist_line]    56:  374
[M::ha_hist_line]    57:  352
[M::ha_hist_line]    58:  301
[M::ha_hist_line]    59:  411
[M::ha_hist_line]    60:  417
[M::ha_hist_line]    61:  337
[M::ha_hist_line]    62:  228
[M::ha_hist_line]    63:  318
[M::ha_hist_line]    64:  365
[M::ha_hist_line]    65:  405
[M::ha_hist_line]    66:  258
[M::ha_hist_line]    67:  222
[M::ha_hist_line]    68:  286
[M::ha_hist_line]    69:  225
[M::ha_hist_line]    70:  199
[M::ha_hist_line]    71:  390
[M::ha_hist_line]    72:  370
[M::ha_hist_line]    73:  456
[M::ha_hist_line]    74:  591
[M::ha_hist_line]    75:  616
[M::ha_hist_line]    76:  378
[M::ha_hist_line]    77:  450
[M::ha_hist_line]    78:  177
[M::ha_hist_line]    79:  297
[M::ha_hist_line]    80:  376
[M::ha_hist_line]    81:  322
[M::ha_hist_line]    82:  224
[M::ha_hist_line]    83:  311
[M::ha_hist_line]    84:  257
[M::ha_hist_line]    85:  175
[M::ha_hist_line]    86:  188
[M::ha_hist_line]    87:  289
[M::ha_hist_line]    88:  228
[M::ha_hist_line]    89:  453
[M::ha_hist_line]    90:  296
[M::ha_hist_line]    91:  155
[M::ha_hist_line]    92:  161
[M::ha_hist_line]    93:  290
[M::ha_hist_line]    94:  233
[M::ha_hist_line]    95:  128
[M::ha_hist_line]    96:  120
[M::ha_hist_line]    97:  185
[M::ha_hist_line]    98:  261
[M::ha_hist_line]    99:  254
[M::ha_hist_line]   100:  152
[M::ha_hist_line]   101:  395
[M::ha_hist_line]   102:  322
[M::ha_hist_line]   103:  302
[M::ha_hist_line]   104:  233
[M::ha_hist_line]   105:  369
[M::ha_hist_line]   106:  195
[M::ha_hist_line]   107:  365
[M::ha_hist_line]   108:  568
[M::ha_hist_line]   109:  527
[M::ha_hist_line]   110:  415
[M::ha_hist_line]   111:  299
[M::ha_hist_line]   112:  417
[M::ha_hist_line]   113:  861
[M::ha_hist_line]   114:  725
[M::ha_hist_line]   115:  738
[M::ha_hist_line]   116:  820
[M::ha_hist_line]   117:  700
[M::ha_hist_line]   118:  861
[M::ha_hist_line]   119:  1502
[M::ha_hist_line]   120:  1590
[M::ha_hist_line]   121:  1975
[M::ha_hist_line]   122:  1798
[M::ha_hist_line]   123:  2023
[M::ha_hist_line]   124:  1679
[M::ha_hist_line]   125:  1474
[M::ha_hist_line]   126:  1456
[M::ha_hist_line]   127:  1454
[M::ha_hist_line]   128:  1621
