2026-02-02 20:35:14.247 - INFO - ====================================================================================================
2026-02-02 20:35:14.248 - INFO -  Kmer丰度转VCF工具|Kmer Abundance to VCF Converter
2026-02-02 20:35:14.249 - INFO - ====================================================================================================
2026-02-02 20:35:14.249 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/01.kmer_db/kmer_matrix_with_header.txt
2026-02-02 20:35:14.249 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf_快速模式/kmer.vcf.gz
2026-02-02 20:35:14.249 - INFO - 样本数|Number of samples: 181
2026-02-02 20:35:14.249 - INFO - 运行模式|Running mode: 快速模式（单次遍历）|Fast mode (single pass)
2026-02-02 20:35:14.249 - INFO - 染色体长度|Chromosome length: 1,000
2026-02-02 20:35:14.249 - INFO - 
2026-02-02 20:35:14.254 - INFO - ====================================================================================================
2026-02-02 20:35:14.254 - INFO -  快速模式转换（单次遍历）|Fast Mode Conversion (Single Pass)
2026-02-02 20:35:14.254 - INFO - ====================================================================================================
2026-02-02 20:35:14.254 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/01.kmer_db/kmer_matrix_with_header.txt
2026-02-02 20:35:14.254 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf_快速模式/kmer.vcf.gz
2026-02-02 20:35:14.254 - INFO - 染色体长度|Chromosome length: 1,000
2026-02-02 20:35:14.254 - INFO - 
2026-02-02 20:35:14.256 - INFO - 样本数量|Number of samples: 181
2026-02-02 20:35:14.256 - INFO - 预估kmer总数|Estimated total kmers: 17,341,634,442
2026-02-02 20:35:14.256 - INFO - 染色体数量|Number of chromosomes: 17341635
2026-02-02 20:35:14.256 - INFO - 
2026-02-02 20:35:17.432 - INFO - 开始转换数据行|Starting data line conversion...
2026-02-02 20:35:33.235 - INFO - 已处理|Processed: 1,000,000 kmers, 输出|output: 999,999
2026-02-02 20:35:49.010 - INFO - 已处理|Processed: 2,000,000 kmers, 输出|output: 1,999,999
2026-02-02 20:36:04.794 - INFO - 已处理|Processed: 3,000,000 kmers, 输出|output: 2,999,999
2026-02-02 20:36:20.585 - INFO - 已处理|Processed: 4,000,000 kmers, 输出|output: 3,999,999
2026-02-02 20:36:36.375 - INFO - 已处理|Processed: 5,000,000 kmers, 输出|output: 4,999,999
2026-02-02 20:36:52.180 - INFO - 已处理|Processed: 6,000,000 kmers, 输出|output: 5,999,999
2026-02-02 20:37:08.011 - INFO - 已处理|Processed: 7,000,000 kmers, 输出|output: 6,999,999
2026-02-02 20:37:23.855 - INFO - 已处理|Processed: 8,000,000 kmers, 输出|output: 7,999,999
2026-02-02 20:37:39.700 - INFO - 已处理|Processed: 9,000,000 kmers, 输出|output: 8,999,999
2026-02-02 20:37:55.533 - INFO - 已处理|Processed: 10,000,000 kmers, 输出|output: 9,999,999
2026-02-02 20:38:11.417 - INFO - 已处理|Processed: 11,000,000 kmers, 输出|output: 10,999,999
2026-02-02 20:38:27.232 - INFO - 已处理|Processed: 12,000,000 kmers, 输出|output: 11,999,999
2026-02-02 20:38:42.915 - INFO - 已处理|Processed: 13,000,000 kmers, 输出|output: 12,999,999
2026-02-02 20:38:58.596 - INFO - 已处理|Processed: 14,000,000 kmers, 输出|output: 13,999,999
2026-02-02 20:39:14.301 - INFO - 已处理|Processed: 15,000,000 kmers, 输出|output: 14,999,999
2026-02-02 20:39:29.990 - INFO - 已处理|Processed: 16,000,000 kmers, 输出|output: 15,999,999
2026-02-02 20:39:45.796 - INFO - 已处理|Processed: 17,000,000 kmers, 输出|output: 16,999,999
2026-02-02 20:40:01.693 - INFO - 已处理|Processed: 18,000,000 kmers, 输出|output: 17,999,999
2026-02-02 20:40:17.542 - INFO - 已处理|Processed: 19,000,000 kmers, 输出|output: 18,999,999
2026-02-02 20:40:33.412 - INFO - 已处理|Processed: 20,000,000 kmers, 输出|output: 19,999,999
2026-02-02 20:40:49.273 - INFO - 已处理|Processed: 21,000,000 kmers, 输出|output: 20,999,999
2026-02-02 20:41:05.122 - INFO - 已处理|Processed: 22,000,000 kmers, 输出|output: 21,999,999
2026-02-02 20:41:20.966 - INFO - 已处理|Processed: 23,000,000 kmers, 输出|output: 22,999,999
2026-02-02 20:41:36.829 - INFO - 已处理|Processed: 24,000,000 kmers, 输出|output: 23,999,999
2026-02-02 20:41:52.653 - INFO - 已处理|Processed: 25,000,000 kmers, 输出|output: 24,999,999
2026-02-02 20:42:08.491 - INFO - 已处理|Processed: 26,000,000 kmers, 输出|output: 25,999,999
2026-02-02 20:42:24.377 - INFO - 已处理|Processed: 27,000,000 kmers, 输出|output: 26,999,999
2026-02-02 20:42:40.189 - INFO - 已处理|Processed: 28,000,000 kmers, 输出|output: 27,999,999
2026-02-02 20:42:56.033 - INFO - 已处理|Processed: 29,000,000 kmers, 输出|output: 28,999,999
2026-02-02 20:43:11.859 - INFO - 已处理|Processed: 30,000,000 kmers, 输出|output: 29,999,999
2026-02-02 20:43:27.689 - INFO - 已处理|Processed: 31,000,000 kmers, 输出|output: 30,999,999
2026-02-02 20:43:43.516 - INFO - 已处理|Processed: 32,000,000 kmers, 输出|output: 31,999,999
2026-02-02 20:43:59.346 - INFO - 已处理|Processed: 33,000,000 kmers, 输出|output: 32,999,999
2026-02-02 20:44:15.161 - INFO - 已处理|Processed: 34,000,000 kmers, 输出|output: 33,999,999
2026-02-02 20:44:30.986 - INFO - 已处理|Processed: 35,000,000 kmers, 输出|output: 34,999,999
2026-02-02 20:44:46.797 - INFO - 已处理|Processed: 36,000,000 kmers, 输出|output: 35,999,999
2026-02-02 20:45:02.617 - INFO - 已处理|Processed: 37,000,000 kmers, 输出|output: 36,999,999
2026-02-02 20:45:18.440 - INFO - 已处理|Processed: 38,000,000 kmers, 输出|output: 37,999,999
2026-02-02 20:45:34.266 - INFO - 已处理|Processed: 39,000,000 kmers, 输出|output: 38,999,999
2026-02-02 20:45:50.121 - INFO - 已处理|Processed: 40,000,000 kmers, 输出|output: 39,999,999
2026-02-02 20:46:05.957 - INFO - 已处理|Processed: 41,000,000 kmers, 输出|output: 40,999,999
2026-02-02 20:46:21.781 - INFO - 已处理|Processed: 42,000,000 kmers, 输出|output: 41,999,999
2026-02-02 20:46:37.643 - INFO - 已处理|Processed: 43,000,000 kmers, 输出|output: 42,999,999
2026-02-02 20:46:53.466 - INFO - 已处理|Processed: 44,000,000 kmers, 输出|output: 43,999,999
2026-02-02 20:47:09.268 - INFO - 已处理|Processed: 45,000,000 kmers, 输出|output: 44,999,999
2026-02-02 20:47:25.079 - INFO - 已处理|Processed: 46,000,000 kmers, 输出|output: 45,999,999
2026-02-02 20:47:40.881 - INFO - 已处理|Processed: 47,000,000 kmers, 输出|output: 46,999,999
