2026-02-05 18:32:24.337 - INFO - ====================================================================================================
2026-02-05 18:32:24.337 - INFO -  Kmer丰度转VCF工具|Kmer Abundance to VCF Converter
2026-02-05 18:32:24.337 - INFO - ====================================================================================================
2026-02-05 18:32:24.337 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/kmer_matrix_with_header.txt
2026-02-05 18:32:24.337 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/soybean_181_samples.vcf.gz
2026-02-05 18:32:24.337 - INFO - 样本数|Number of samples: 181
2026-02-05 18:32:24.351 - INFO - 运行模式|Running mode: 快速模式（单次遍历）|Fast mode (single pass)
2026-02-05 18:32:24.351 - INFO - 染色体数量|Chromosome count: 20
2026-02-05 18:32:24.351 - INFO - 
2026-02-05 18:32:24.351 - INFO - ====================================================================================================
2026-02-05 18:32:24.351 - INFO -  快速模式转换（单次遍历）|Fast Mode Conversion (Single Pass)
2026-02-05 18:32:24.351 - INFO - ====================================================================================================
2026-02-05 18:32:24.351 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/kmer_matrix_with_header.txt
2026-02-05 18:32:24.351 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/soybean_181_samples.vcf.gz
2026-02-05 18:32:24.351 - INFO - 用户指定染色体数量|User-specified chromosome count: 20
2026-02-05 18:32:24.351 - INFO - 
2026-02-05 18:32:24.353 - INFO - 样本数量|Number of samples: 181
2026-02-05 18:32:24.353 - INFO - 预估kmer总数|Estimated total kmers: 17,341,634,442
2026-02-05 18:32:24.353 - INFO - 用户指定染色体数量|User-specified chromosome count: 20
2026-02-05 18:32:24.353 - INFO - 每条染色体平均长度|Average length per chromosome: 867,081,722
2026-02-05 18:32:24.353 - INFO - 
2026-02-05 18:32:24.353 - INFO - 开始转换数据行|Starting data line conversion...
2026-02-05 18:32:40.269 - INFO - 已处理|Processed: 1,000,000 kmers, 输出|output: 999,999
2026-02-05 18:32:56.169 - INFO - 已处理|Processed: 2,000,000 kmers, 输出|output: 1,999,999
2026-02-05 18:33:12.034 - INFO - 已处理|Processed: 3,000,000 kmers, 输出|output: 2,999,999
2026-02-05 18:33:28.000 - INFO - 已处理|Processed: 4,000,000 kmers, 输出|output: 3,999,999
2026-02-05 18:33:43.872 - INFO - 已处理|Processed: 5,000,000 kmers, 输出|output: 4,999,999
2026-02-05 18:33:59.798 - INFO - 已处理|Processed: 6,000,000 kmers, 输出|output: 5,999,999
2026-02-05 18:34:15.658 - INFO - 已处理|Processed: 7,000,000 kmers, 输出|output: 6,999,999
2026-02-05 18:34:31.575 - INFO - 已处理|Processed: 8,000,000 kmers, 输出|output: 7,999,999
2026-02-05 18:34:47.449 - INFO - 已处理|Processed: 9,000,000 kmers, 输出|output: 8,999,999
2026-02-05 18:35:03.380 - INFO - 已处理|Processed: 10,000,000 kmers, 输出|output: 9,999,999
2026-02-05 18:35:19.253 - INFO - 已处理|Processed: 11,000,000 kmers, 输出|output: 10,999,999
2026-02-05 18:35:35.164 - INFO - 已处理|Processed: 12,000,000 kmers, 输出|output: 11,999,999
2026-02-05 18:35:51.016 - INFO - 已处理|Processed: 13,000,000 kmers, 输出|output: 12,999,999
2026-02-05 18:36:06.941 - INFO - 已处理|Processed: 14,000,000 kmers, 输出|output: 13,999,999
2026-02-05 18:36:22.797 - INFO - 已处理|Processed: 15,000,000 kmers, 输出|output: 14,999,999
2026-02-05 18:36:38.726 - INFO - 已处理|Processed: 16,000,000 kmers, 输出|output: 15,999,999
2026-02-05 18:36:54.597 - INFO - 已处理|Processed: 17,000,000 kmers, 输出|output: 16,999,999
2026-02-05 18:37:10.586 - INFO - 已处理|Processed: 18,000,000 kmers, 输出|output: 17,999,999
2026-02-05 18:37:26.466 - INFO - 已处理|Processed: 19,000,000 kmers, 输出|output: 18,999,999
2026-02-05 18:37:42.395 - INFO - 已处理|Processed: 20,000,000 kmers, 输出|output: 19,999,999
2026-02-05 18:37:58.256 - INFO - 已处理|Processed: 21,000,000 kmers, 输出|output: 20,999,999
2026-02-05 18:38:14.178 - INFO - 已处理|Processed: 22,000,000 kmers, 输出|output: 21,999,999
2026-02-05 18:38:30.059 - INFO - 已处理|Processed: 23,000,000 kmers, 输出|output: 22,999,999
2026-02-05 18:38:45.985 - INFO - 已处理|Processed: 24,000,000 kmers, 输出|output: 23,999,999
2026-02-05 18:39:01.821 - INFO - 已处理|Processed: 25,000,000 kmers, 输出|output: 24,999,999
2026-02-05 18:39:17.724 - INFO - 已处理|Processed: 26,000,000 kmers, 输出|output: 25,999,999
2026-02-05 18:39:33.594 - INFO - 已处理|Processed: 27,000,000 kmers, 输出|output: 26,999,999
2026-02-05 18:39:49.486 - INFO - 已处理|Processed: 28,000,000 kmers, 输出|output: 27,999,999
2026-02-05 18:40:05.373 - INFO - 已处理|Processed: 29,000,000 kmers, 输出|output: 28,999,999
2026-02-05 18:40:21.284 - INFO - 已处理|Processed: 30,000,000 kmers, 输出|output: 29,999,999
2026-02-05 18:40:37.130 - INFO - 已处理|Processed: 31,000,000 kmers, 输出|output: 30,999,999
2026-02-05 18:40:53.048 - INFO - 已处理|Processed: 32,000,000 kmers, 输出|output: 31,999,999
2026-02-05 18:41:08.907 - INFO - 已处理|Processed: 33,000,000 kmers, 输出|output: 32,999,999
2026-02-05 18:41:24.806 - INFO - 已处理|Processed: 34,000,000 kmers, 输出|output: 33,999,999
2026-02-05 18:41:40.645 - INFO - 已处理|Processed: 35,000,000 kmers, 输出|output: 34,999,999
2026-02-05 18:41:56.565 - INFO - 已处理|Processed: 36,000,000 kmers, 输出|output: 35,999,999
2026-02-05 18:42:12.438 - INFO - 已处理|Processed: 37,000,000 kmers, 输出|output: 36,999,999
2026-02-05 18:42:28.351 - INFO - 已处理|Processed: 38,000,000 kmers, 输出|output: 37,999,999
2026-02-05 18:42:44.211 - INFO - 已处理|Processed: 39,000,000 kmers, 输出|output: 38,999,999
2026-02-05 18:43:00.146 - INFO - 已处理|Processed: 40,000,000 kmers, 输出|output: 39,999,999
2026-02-05 18:43:16.020 - INFO - 已处理|Processed: 41,000,000 kmers, 输出|output: 40,999,999
2026-02-05 18:43:31.935 - INFO - 已处理|Processed: 42,000,000 kmers, 输出|output: 41,999,999
2026-02-05 18:43:47.803 - INFO - 已处理|Processed: 43,000,000 kmers, 输出|output: 42,999,999
2026-02-05 18:44:03.728 - INFO - 已处理|Processed: 44,000,000 kmers, 输出|output: 43,999,999
2026-02-05 18:44:19.613 - INFO - 已处理|Processed: 45,000,000 kmers, 输出|output: 44,999,999
2026-02-05 18:44:35.506 - INFO - 已处理|Processed: 46,000,000 kmers, 输出|output: 45,999,999
2026-02-05 18:44:51.347 - INFO - 已处理|Processed: 47,000,000 kmers, 输出|output: 46,999,999
2026-02-05 18:45:07.239 - INFO - 已处理|Processed: 48,000,000 kmers, 输出|output: 47,999,999
2026-02-05 18:45:23.062 - INFO - 已处理|Processed: 49,000,000 kmers, 输出|output: 48,999,999
2026-02-05 18:45:38.952 - INFO - 已处理|Processed: 50,000,000 kmers, 输出|output: 49,999,999
2026-02-05 18:45:54.771 - INFO - 已处理|Processed: 51,000,000 kmers, 输出|output: 50,999,999
2026-02-05 18:46:10.667 - INFO - 已处理|Processed: 52,000,000 kmers, 输出|output: 51,999,999
2026-02-05 18:46:26.500 - INFO - 已处理|Processed: 53,000,000 kmers, 输出|output: 52,999,999
2026-02-05 18:46:42.396 - INFO - 已处理|Processed: 54,000,000 kmers, 输出|output: 53,999,999
2026-02-05 18:46:58.229 - INFO - 已处理|Processed: 55,000,000 kmers, 输出|output: 54,999,999
2026-02-05 18:47:14.123 - INFO - 已处理|Processed: 56,000,000 kmers, 输出|output: 55,999,999
2026-02-05 18:47:29.988 - INFO - 已处理|Processed: 57,000,000 kmers, 输出|output: 56,999,999
2026-02-05 18:47:45.920 - INFO - 已处理|Processed: 58,000,000 kmers, 输出|output: 57,999,999
2026-02-05 18:48:01.827 - INFO - 已处理|Processed: 59,000,000 kmers, 输出|output: 58,999,999
2026-02-05 18:48:17.775 - INFO - 已处理|Processed: 60,000,000 kmers, 输出|output: 59,999,999
2026-02-05 18:48:33.694 - INFO - 已处理|Processed: 61,000,000 kmers, 输出|output: 60,999,999
2026-02-05 18:48:49.651 - INFO - 已处理|Processed: 62,000,000 kmers, 输出|output: 61,999,999
2026-02-05 18:49:05.543 - INFO - 已处理|Processed: 63,000,000 kmers, 输出|output: 62,999,999
2026-02-05 18:49:21.505 - INFO - 已处理|Processed: 64,000,000 kmers, 输出|output: 63,999,999
2026-02-05 18:49:37.432 - INFO - 已处理|Processed: 65,000,000 kmers, 输出|output: 64,999,999
2026-02-05 18:49:53.428 - INFO - 已处理|Processed: 66,000,000 kmers, 输出|output: 65,999,999
2026-02-05 18:50:09.345 - INFO - 已处理|Processed: 67,000,000 kmers, 输出|output: 66,999,999
2026-02-05 18:50:25.326 - INFO - 已处理|Processed: 68,000,000 kmers, 输出|output: 67,999,999
2026-02-05 18:50:41.247 - INFO - 已处理|Processed: 69,000,000 kmers, 输出|output: 68,999,999
2026-02-05 18:50:57.222 - INFO - 已处理|Processed: 70,000,000 kmers, 输出|output: 69,999,999
2026-02-05 18:51:13.162 - INFO - 已处理|Processed: 71,000,000 kmers, 输出|output: 70,999,999
2026-02-05 18:51:29.144 - INFO - 已处理|Processed: 72,000,000 kmers, 输出|output: 71,999,999
2026-02-05 18:51:45.078 - INFO - 已处理|Processed: 73,000,000 kmers, 输出|output: 72,999,999
2026-02-05 18:52:01.053 - INFO - 已处理|Processed: 74,000,000 kmers, 输出|output: 73,999,999
2026-02-05 18:52:16.972 - INFO - 已处理|Processed: 75,000,000 kmers, 输出|output: 74,999,999
2026-02-05 18:52:32.954 - INFO - 已处理|Processed: 76,000,000 kmers, 输出|output: 75,999,999
2026-02-05 18:52:48.890 - INFO - 已处理|Processed: 77,000,000 kmers, 输出|output: 76,999,999
2026-02-05 18:53:04.849 - INFO - 已处理|Processed: 78,000,000 kmers, 输出|output: 77,999,999
2026-02-05 18:53:20.774 - INFO - 已处理|Processed: 79,000,000 kmers, 输出|output: 78,999,999
2026-02-05 18:53:36.744 - INFO - 已处理|Processed: 80,000,000 kmers, 输出|output: 79,999,999
2026-02-05 18:53:52.662 - INFO - 已处理|Processed: 81,000,000 kmers, 输出|output: 80,999,999
2026-02-05 18:54:08.628 - INFO - 已处理|Processed: 82,000,000 kmers, 输出|output: 81,999,999
2026-02-05 18:54:24.548 - INFO - 已处理|Processed: 83,000,000 kmers, 输出|output: 82,999,999
2026-02-05 18:54:40.520 - INFO - 已处理|Processed: 84,000,000 kmers, 输出|output: 83,999,999
2026-02-05 18:54:56.439 - INFO - 已处理|Processed: 85,000,000 kmers, 输出|output: 84,999,999
2026-02-05 18:55:12.427 - INFO - 已处理|Processed: 86,000,000 kmers, 输出|output: 85,999,999
2026-02-05 18:55:28.344 - INFO - 已处理|Processed: 87,000,000 kmers, 输出|output: 86,999,999
2026-02-05 18:55:44.314 - INFO - 已处理|Processed: 88,000,000 kmers, 输出|output: 87,999,999
2026-02-05 18:56:00.212 - INFO - 已处理|Processed: 89,000,000 kmers, 输出|output: 88,999,999
2026-02-05 18:56:16.208 - INFO - 已处理|Processed: 90,000,000 kmers, 输出|output: 89,999,999
2026-02-05 18:56:32.125 - INFO - 已处理|Processed: 91,000,000 kmers, 输出|output: 90,999,999
2026-02-05 18:56:48.097 - INFO - 已处理|Processed: 92,000,000 kmers, 输出|output: 91,999,999
2026-02-05 18:57:04.036 - INFO - 已处理|Processed: 93,000,000 kmers, 输出|output: 92,999,999
2026-02-05 18:57:20.008 - INFO - 已处理|Processed: 94,000,000 kmers, 输出|output: 93,999,999
2026-02-05 18:57:35.917 - INFO - 已处理|Processed: 95,000,000 kmers, 输出|output: 94,999,999
2026-02-05 18:57:51.884 - INFO - 已处理|Processed: 96,000,000 kmers, 输出|output: 95,999,999
2026-02-05 18:58:07.809 - INFO - 已处理|Processed: 97,000,000 kmers, 输出|output: 96,999,999
2026-02-05 18:58:23.785 - INFO - 已处理|Processed: 98,000,000 kmers, 输出|output: 97,999,999
2026-02-05 18:58:39.705 - INFO - 已处理|Processed: 99,000,000 kmers, 输出|output: 98,999,999
2026-02-05 18:58:55.712 - INFO - 已处理|Processed: 100,000,000 kmers, 输出|output: 99,999,999
2026-02-05 18:59:11.616 - INFO - 已处理|Processed: 101,000,000 kmers, 输出|output: 100,999,999
2026-02-05 18:59:27.582 - INFO - 已处理|Processed: 102,000,000 kmers, 输出|output: 101,999,999
2026-02-05 18:59:43.500 - INFO - 已处理|Processed: 103,000,000 kmers, 输出|output: 102,999,999
2026-02-05 18:59:59.485 - INFO - 已处理|Processed: 104,000,000 kmers, 输出|output: 103,999,999
2026-02-05 19:00:15.406 - INFO - 已处理|Processed: 105,000,000 kmers, 输出|output: 104,999,999
2026-02-05 19:00:31.374 - INFO - 已处理|Processed: 106,000,000 kmers, 输出|output: 105,999,999
2026-02-05 19:00:47.289 - INFO - 已处理|Processed: 107,000,000 kmers, 输出|output: 106,999,999
2026-02-05 19:01:03.248 - INFO - 已处理|Processed: 108,000,000 kmers, 输出|output: 107,999,999
2026-02-05 19:01:19.170 - INFO - 已处理|Processed: 109,000,000 kmers, 输出|output: 108,999,999
2026-02-05 19:01:35.143 - INFO - 已处理|Processed: 110,000,000 kmers, 输出|output: 109,999,999
2026-02-05 19:01:51.062 - INFO - 已处理|Processed: 111,000,000 kmers, 输出|output: 110,999,999
2026-02-05 19:02:07.043 - INFO - 已处理|Processed: 112,000,000 kmers, 输出|output: 111,999,999
2026-02-05 19:02:22.961 - INFO - 已处理|Processed: 113,000,000 kmers, 输出|output: 112,999,999
2026-02-05 19:02:38.940 - INFO - 已处理|Processed: 114,000,000 kmers, 输出|output: 113,999,999
2026-02-05 19:02:54.846 - INFO - 已处理|Processed: 115,000,000 kmers, 输出|output: 114,999,999
2026-02-05 19:03:10.815 - INFO - 已处理|Processed: 116,000,000 kmers, 输出|output: 115,999,999
2026-02-05 19:03:26.732 - INFO - 已处理|Processed: 117,000,000 kmers, 输出|output: 116,999,999
2026-02-05 19:03:42.704 - INFO - 已处理|Processed: 118,000,000 kmers, 输出|output: 117,999,999
2026-02-05 19:03:58.607 - INFO - 已处理|Processed: 119,000,000 kmers, 输出|output: 118,999,999
2026-02-05 19:04:14.587 - INFO - 已处理|Processed: 120,000,000 kmers, 输出|output: 119,999,999
2026-02-05 19:04:30.505 - INFO - 已处理|Processed: 121,000,000 kmers, 输出|output: 120,999,999
2026-02-05 19:04:46.483 - INFO - 已处理|Processed: 122,000,000 kmers, 输出|output: 121,999,999
2026-02-05 19:05:02.392 - INFO - 已处理|Processed: 123,000,000 kmers, 输出|output: 122,999,999
2026-02-05 19:05:18.353 - INFO - 已处理|Processed: 124,000,000 kmers, 输出|output: 123,999,999
2026-02-05 19:05:34.266 - INFO - 已处理|Processed: 125,000,000 kmers, 输出|output: 124,999,999
2026-02-05 19:05:50.255 - INFO - 已处理|Processed: 126,000,000 kmers, 输出|output: 125,999,999
2026-02-05 19:06:06.176 - INFO - 已处理|Processed: 127,000,000 kmers, 输出|output: 126,999,999
