2026-02-09 19:31:41.425 - INFO - ================================================================================
2026-02-09 19:31:41.425 - INFO - 开始基因组组装流程|Starting Genome Assembly Pipeline
2026-02-09 19:31:41.425 - INFO - ================================================================================
2026-02-09 19:31:41.425 - INFO - 检查依赖软件|Checking dependencies
2026-02-09 19:31:41.730 - INFO - 组装配置|Assembly Configuration:
2026-02-09 19:31:41.730 - INFO -   样本名称|Sample Name: N3-3
2026-02-09 19:31:41.730 - INFO -   基因组大小|Genome Size: 85m
2026-02-09 19:31:41.730 - INFO -   倍性|Ploidy: 2
2026-02-09 19:31:41.730 - INFO -   线程数|Threads: 32
2026-02-09 19:31:41.730 - INFO -   HiFi数据|HiFi Data: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/raw/hifi/fastq/N3-3.hifi_reads.fastq.gz
2026-02-09 19:31:41.730 - INFO -   组装模式|Assembly Mode: HiFi only
2026-02-09 19:31:41.730 - INFO -   NGS数据目录|NGS Data Directory: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/ngs/N3-3
2026-02-09 19:31:41.730 - INFO -   高质量覆盖度阈值|High Coverage Threshold: 95.0%
2026-02-09 19:31:41.730 - INFO -   NGS polish|NGS Polish: 启用|Enabled
2026-02-09 19:31:41.730 - INFO -   工作目录|Work Directory: /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/N3-3
2026-02-09 19:31:41.753 - INFO - ================================================================================
2026-02-09 19:31:41.753 - INFO - 断点续传模式|Resume mode: enabled
2026-02-09 19:31:41.753 - INFO - ================================================================================
2026-02-09 19:31:41.753 - INFO - 检查已完成步骤|Checking completed steps:
2026-02-09 19:31:41.753 - INFO - 初次组装步骤|Initial assembly steps:
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] Hifiasm组装|Hifiasm assembly
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] GFA转FASTA|GFA to FASTA conversion
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] Contig-reads映射生成|Contig-reads mapping generated
2026-02-09 19:31:41.753 - INFO - NGS polish步骤|NGS polish steps:
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] BWA比对|BWA alignment
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] 覆盖度过滤|Coverage filter
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] 筛选reads|Filter reads
2026-02-09 19:31:41.753 - INFO -   [未完成|pending] 重新组装|Reassembly
2026-02-09 19:31:41.753 - INFO - ================================================================================
2026-02-09 19:31:41.753 - INFO - 运行hifiasm组装(仅HiFi模式)|Running hifiasm assembly (HiFi only mode)
2026-02-09 19:31:41.753 - INFO - 执行命令|Executing command: hifiasm -o N3-3 -t 32 --hg-size 85m --n-hap 2 /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/01.data/raw/hifi/fastq/N3-3.hifi_reads.fastq.gz 2>&1|tee /share/org/YZWL/yzwl_lixg/project/28.大豆疫霉菌三代基因组/02.hifiasm/N3-3/05.logs/hifiasm_assembly.log
[M::ha_analyze_count] lowest: count[29] = 2878
[M::ha_analyze_count] highest: count[338] = 556558
[M::ha_hist_line]     2: ****************************************************************************************************> 4964753
[M::ha_hist_line]     3: ****************************************************************************************************> 1093026
[M::ha_hist_line]     4: ***************************************************************************************** 493945
[M::ha_hist_line]     5: *************************************************** 281877
[M::ha_hist_line]     6: ********************************* 183931
[M::ha_hist_line]     7: *********************** 126384
[M::ha_hist_line]     8: ***************** 92112
[M::ha_hist_line]     9: ************* 70385
[M::ha_hist_line]    10: ********** 54452
[M::ha_hist_line]    11: ******** 44285
[M::ha_hist_line]    12: ****** 33689
[M::ha_hist_line]    13: ***** 29354
[M::ha_hist_line]    14: **** 24097
[M::ha_hist_line]    15: **** 20268
[M::ha_hist_line]    16: *** 16869
[M::ha_hist_line]    17: ** 13601
[M::ha_hist_line]    18: ** 12730
[M::ha_hist_line]    19: ** 10450
[M::ha_hist_line]    20: ** 9027
[M::ha_hist_line]    21: * 7396
[M::ha_hist_line]    22: * 7025
[M::ha_hist_line]    23: * 6268
[M::ha_hist_line]    24: * 5785
[M::ha_hist_line]    25: * 5162
[M::ha_hist_line]    26: * 4493
[M::ha_hist_line]    27: * 3894
[M::ha_hist_line]    28: * 3260
[M::ha_hist_line]    29: * 2878
[M::ha_hist_line]    30: * 3292
[M::ha_hist_line]    31:  2725
[M::ha_hist_line]    32:  2605
[M::ha_hist_line]    33:  2691
[M::ha_hist_line]    34:  2489
[M::ha_hist_line]    35:  2300
[M::ha_hist_line]    36:  2220
[M::ha_hist_line]    37:  1820
[M::ha_hist_line]    38:  1436
[M::ha_hist_line]    39:  1201
[M::ha_hist_line]    40:  1331
[M::ha_hist_line]    41:  1206
[M::ha_hist_line]    42:  1414
[M::ha_hist_line]    43:  1146
[M::ha_hist_line]    44:  1006
[M::ha_hist_line]    45:  940
[M::ha_hist_line]    46:  1106
[M::ha_hist_line]    47:  965
[M::ha_hist_line]    48:  672
[M::ha_hist_line]    49:  740
[M::ha_hist_line]    50:  772
[M::ha_hist_line]    51:  560
[M::ha_hist_line]    52:  543
[M::ha_hist_line]    53:  504
[M::ha_hist_line]    54:  542
[M::ha_hist_line]    55:  412
[M::ha_hist_line]    56:  538
[M::ha_hist_line]    57:  528
[M::ha_hist_line]    58:  446
[M::ha_hist_line]    59:  420
[M::ha_hist_line]    60:  331
[M::ha_hist_line]    61:  247
[M::ha_hist_line]    62:  237
[M::ha_hist_line]    63:  302
[M::ha_hist_line]    64:  286
[M::ha_hist_line]    65:  407
[M::ha_hist_line]    66:  337
[M::ha_hist_line]    67:  228
[M::ha_hist_line]    68:  210
[M::ha_hist_line]    69:  167
[M::ha_hist_line]    70:  220
[M::ha_hist_line]    71:  293
[M::ha_hist_line]    72:  228
[M::ha_hist_line]    73:  272
[M::ha_hist_line]    74:  267
[M::ha_hist_line]    75:  247
[M::ha_hist_line]    76:  181
[M::ha_hist_line]    77:  195
[M::ha_hist_line]    78:  140
[M::ha_hist_line]    79:  123
[M::ha_hist_line]    80:  165
[M::ha_hist_line]    81:  271
[M::ha_hist_line]    82:  176
[M::ha_hist_line]    83:  272
[M::ha_hist_line]    84:  218
[M::ha_hist_line]    85:  88
[M::ha_hist_line]    86:  103
[M::ha_hist_line]    87:  158
[M::ha_hist_line]    88:  146
[M::ha_hist_line]    89:  221
[M::ha_hist_line]    90:  305
[M::ha_hist_line]    91:  437
[M::ha_hist_line]    92:  292
[M::ha_hist_line]    93:  365
[M::ha_hist_line]    94:  518
[M::ha_hist_line]    95:  494
[M::ha_hist_line]    96:  483
[M::ha_hist_line]    97:  430
[M::ha_hist_line]    98:  364
[M::ha_hist_line]    99:  438
[M::ha_hist_line]   100:  586
[M::ha_hist_line]   101:  664
[M::ha_hist_line]   102:  541
[M::ha_hist_line]   103:  703
[M::ha_hist_line]   104:  744
[M::ha_hist_line]   105:  430
[M::ha_hist_line]   106:  322
[M::ha_hist_line]   107:  400
[M::ha_hist_line]   108:  642
[M::ha_hist_line]   109:  573
[M::ha_hist_line]   110:  571
[M::ha_hist_line]   111:  583
[M::ha_hist_line]   112:  636
[M::ha_hist_line]   113:  545
[M::ha_hist_line]   114:  442
[M::ha_hist_line]   115:  424
[M::ha_hist_line]   116:  351
[M::ha_hist_line]   117:  466
[M::ha_hist_line]   118:  406
[M::ha_hist_line]   119:  307
[M::ha_hist_line]   120:  648
[M::ha_hist_line]   121:  565
[M::ha_hist_line]   122:  303
[M::ha_hist_line]   123:  377
[M::ha_hist_line]   124:  233
[M::ha_hist_line]   125:  398
[M::ha_hist_line]   126:  243
[M::ha_hist_line]   127:  392
[M::ha_hist_line]   128:  302
[M::ha_hist_line]   129:  407
[M::ha_hist_line]   130:  453
[M::ha_hist_line]   131:  537
[M::ha_hist_line]   132:  350
[M::ha_hist_line]   133:  439
[M::ha_hist_line]   134:  449
[M::ha_hist_line]   135:  745
[M::ha_hist_line]   136:  763
[M::ha_hist_line]   137:  612
[M::ha_hist_line]   138:  943
[M::ha_hist_line]   139:  846
[M::ha_hist_line]   140:  701
[M::ha_hist_line]   141:  710
[M::ha_hist_line]   142:  478
[M::ha_hist_line]   143:  491
[M::ha_hist_line]   144:  516
[M::ha_hist_line]   145:  479
[M::ha_hist_line]   146:  684
[M::ha_hist_line]   147:  687
[M::ha_hist_line]   148:  585
[M::ha_hist_line]   149:  286
[M::ha_hist_line]   150:  497
[M::ha_hist_line]   151:  529
[M::ha_hist_line]   152:  648
[M::ha_hist_line]   153:  604
[M::ha_hist_line]   154:  739
[M::ha_hist_line]   155:  1026
[M::ha_hist_line]   156:  1001
[M::ha_hist_line]   157:  1068
[M::ha_hist_line]   158:  1652
[M::ha_hist_line]   159:  1701
