canonical_env,env_name,is_alias,scope,module,file,line,style,tool,var,snippet
Population_genetics,Population_genetics,,code,admixture,biopytools/admixture/config.py,30,env-path,plink,,"plink_path: str = ""~/miniforge3/envs/Population_genetics/bin/plink"""
Population_genetics,Population_genetics,,code,admixture,biopytools/admixture/config.py,31,env-path,admixture,,"admixture_path: str = ""~/miniforge3/envs/Population_genetics/bin/admixture"""
bcftools_v.1.22,bcftools_v.1.22,,code,admixture,biopytools/admixture/config.py,32,env-path,bcftools,,"bcftools_path: str = ""~/miniforge3/envs/bcftools_v.1.22/bin/bcftools"""
adamixture_v.1.0.2,adamixture_v.1.0.2,,code,admixture,biopytools/admixture/config.py,35,env-path,adamixture,,"adamixture_path: str = ""~/miniforge3/envs/adamixture_v.1.0.2/bin/adamixture"""
adamixture_v.1.0.2,adamixture_v.1.0.2,,code,admixture,biopytools/admixture/main.py,293,env-path,adamixture,,"default=""~/miniforge3/envs/adamixture_v.1.0.2/bin/adamixture"","
adamixture_v.1.0.2,adamixture,yes,code,admixture,biopytools/admixture/utils.py,29,env-path,adamixture,,# 例如: /miniforge3/envs/adamixture/bin/adamixture
telocomp,telocomp,,code,aliner,biopytools/aliner/config.py,39,env-path,minimap2,,"default_factory=lambda: get_tool_path('minimap2', '~/miniforge3/envs/telocomp/bin/minimap2', 'MINIMAP2_PATH'))"
telocomp,telocomp,,code,aliner,biopytools/aliner/config.py,41,env-path,samtools,,"default_factory=lambda: get_tool_path('samtools', '~/miniforge3/envs/telocomp/bin/samtools', 'SAMTOOLS_PATH'))"
a-liner,a-liner,,code,aliner,biopytools/aliner/config.py,42,env-field,,,"aliner_env: str = ""a-liner""         # a-liner固定conda环境|a-liner fixed conda env"
Population_genetics,Population_genetics,,code,allhic,biopytools/allhic/config.py,34,env-path,,,"bwa_path: str = field(default_factory=lambda: os.getenv(""ALLHIC_BWA_PATH"", ""~/miniforge3/envs/Population_genetics/bin""))"
<var>,<var>,,code,allhic,biopytools/allhic/logger.py,167,conda-run-var,,conda_env,"return f""conda run -n {conda_env} --no-capture-output {cmd}"""
<var>,<var>,,code,allhic,biopytools/allhic/utils.py,63,conda-run-var,,conda_env,"full_cmd = f""conda run -n {conda_env} --no-capture-output {command} {args}"""
<var>,<var>,,code,allhic,biopytools/allhic/utils.py,65,conda-run-var,,conda_env,"full_cmd = f""conda run -n {conda_env} --no-capture-output {command}"""
