2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO -  Kmer矩阵比较工具|Kmer Matrix Comparison Tool
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO - 文件1|File1: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:34:51.466 - INFO - 文件2|File2: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:34:51.466 - INFO - 输出前缀|Output prefix: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique
2026-02-02 15:34:51.466 - INFO - 窗口大小|Window size: 100.00K
2026-02-02 15:34:51.466 - INFO - 
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO -  步骤 1/4: 提取kmer序列集合|Step 1/4: Extract kmer sequence sets
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:34:53.275 - INFO -   已读取|Read: 1.00M 行|lines
2026-02-02 15:34:55.037 - INFO -   已读取|Read: 2.00M 行|lines
2026-02-02 15:34:56.740 - INFO -   已读取|Read: 3.00M 行|lines
2026-02-02 15:34:58.426 - INFO -   已读取|Read: 4.00M 行|lines
2026-02-02 15:35:00.141 - INFO -   已读取|Read: 5.00M 行|lines
2026-02-02 15:35:01.914 - INFO -   已读取|Read: 6.00M 行|lines
2026-02-02 15:35:03.613 - INFO -   已读取|Read: 7.00M 行|lines
2026-02-02 15:35:05.331 - INFO -   已读取|Read: 8.00M 行|lines
2026-02-02 15:35:07.020 - INFO -   已读取|Read: 9.00M 行|lines
2026-02-02 15:35:08.734 - INFO -   已读取|Read: 10.00M 行|lines
2026-02-02 15:35:10.595 - INFO -   已读取|Read: 11.00M 行|lines
2026-02-02 15:35:12.284 - INFO -   已读取|Read: 12.00M 行|lines
2026-02-02 15:35:13.989 - INFO -   已读取|Read: 13.00M 行|lines
2026-02-02 15:35:15.715 - INFO -   已读取|Read: 14.00M 行|lines
2026-02-02 15:35:17.464 - INFO -   已读取|Read: 15.00M 行|lines
2026-02-02 15:35:19.182 - INFO -   已读取|Read: 16.00M 行|lines
2026-02-02 15:35:20.922 - INFO -   已读取|Read: 17.00M 行|lines
2026-02-02 15:35:22.672 - INFO -   已读取|Read: 18.00M 行|lines
2026-02-02 15:35:24.385 - INFO -   已读取|Read: 19.00M 行|lines
2026-02-02 15:35:26.128 - INFO -   已读取|Read: 20.00M 行|lines
2026-02-02 15:35:28.143 - INFO -   已读取|Read: 21.00M 行|lines
2026-02-02 15:35:29.819 - INFO -   已读取|Read: 22.00M 行|lines
2026-02-02 15:35:31.505 - INFO -   已读取|Read: 23.00M 行|lines
2026-02-02 15:35:33.229 - INFO -   已读取|Read: 24.00M 行|lines
2026-02-02 15:35:34.932 - INFO -   已读取|Read: 25.00M 行|lines
2026-02-02 15:35:36.620 - INFO -   已读取|Read: 26.00M 行|lines
2026-02-02 15:35:38.314 - INFO -   已读取|Read: 27.00M 行|lines
2026-02-02 15:35:40.003 - INFO -   已读取|Read: 28.00M 行|lines
2026-02-02 15:35:41.727 - INFO -   已读取|Read: 29.00M 行|lines
2026-02-02 15:35:43.426 - INFO -   已读取|Read: 30.00M 行|lines
2026-02-02 15:35:45.121 - INFO -   已读取|Read: 31.00M 行|lines
2026-02-02 15:35:46.810 - INFO -   已读取|Read: 32.00M 行|lines
2026-02-02 15:35:48.505 - INFO -   已读取|Read: 33.00M 行|lines
2026-02-02 15:35:50.225 - INFO -   已读取|Read: 34.00M 行|lines
2026-02-02 15:35:51.923 - INFO -   已读取|Read: 35.00M 行|lines
2026-02-02 15:35:53.625 - INFO -   已读取|Read: 36.00M 行|lines
2026-02-02 15:35:55.330 - INFO -   已读取|Read: 37.00M 行|lines
2026-02-02 15:35:57.040 - INFO -   已读取|Read: 38.00M 行|lines
2026-02-02 15:35:58.735 - INFO -   已读取|Read: 39.00M 行|lines
2026-02-02 15:36:00.434 - INFO -   已读取|Read: 40.00M 行|lines
2026-02-02 15:36:02.838 - INFO -   已读取|Read: 41.00M 行|lines
2026-02-02 15:36:04.535 - INFO -   已读取|Read: 42.00M 行|lines
2026-02-02 15:36:06.238 - INFO -   已读取|Read: 43.00M 行|lines
2026-02-02 15:36:08.005 - INFO -   已读取|Read: 44.00M 行|lines
2026-02-02 15:36:09.729 - INFO -   已读取|Read: 45.00M 行|lines
2026-02-02 15:36:11.455 - INFO -   已读取|Read: 46.00M 行|lines
2026-02-02 15:36:13.168 - INFO -   已读取|Read: 47.00M 行|lines
2026-02-02 15:36:14.853 - INFO -   已读取|Read: 48.00M 行|lines
