📋 正在生成样品列表...
  ✓ 添加样品: 41
  ✓ 添加样品: 6497
  ✓ 添加样品: 7076
  ✓ 添加样品: A1-10
  ✓ 添加样品: A1-11
  ✓ 添加样品: A1-12
  ✓ 添加样品: A1-13
  ✓ 添加样品: A1-14
  ✓ 添加样品: A1-15
  ✓ 添加样品: A1-16
  ✓ 添加样品: A1-17
  ✓ 添加样品: A1-18
  ✓ 添加样品: A1-19
  ✓ 添加样品: A1-1
  ✓ 添加样品: A1-20
  ✓ 添加样品: A1-21
  ✓ 添加样品: A1-22
  ✓ 添加样品: A1-23
  ✓ 添加样品: A1-24
  ✓ 添加样品: A1-25
  ✓ 添加样品: A1-26
  ✓ 添加样品: A1-2
  ✓ 添加样品: A1-3
  ✓ 添加样品: A1-4
  ✓ 添加样品: A1-5
  ✓ 添加样品: A1-6
  ✓ 添加样品: A1-7
  ✓ 添加样品: A1-8
  ✓ 添加样品: A1-9
  ✓ 添加样品: A2-1
  ✓ 添加样品: A2-3
  ✓ 添加样品: A2-4
  ✓ 添加样品: A2-5
  ✓ 添加样品: A3-10
  ✓ 添加样品: A3-11
  ✓ 添加样品: A3-12
  ✓ 添加样品: A3-13
  ✓ 添加样品: A3-14
  ✓ 添加样品: A3-15
  ✓ 添加样品: A3-16
  ✓ 添加样品: A3-17
  ✓ 添加样品: A3-18
  ✓ 添加样品: A3-19
  ✓ 添加样品: A3-1
  ✓ 添加样品: A3-20
  ✓ 添加样品: A3-21
  ✓ 添加样品: A3-22
  ✓ 添加样品: A3-23
  ✓ 添加样品: A3-24
  ✓ 添加样品: A3-25
  ✓ 添加样品: A3-26
  ✓ 添加样品: A3-27
  ✓ 添加样品: A3-28
  ✓ 添加样品: A3-29
  ✓ 添加样品: A3-2
  ✓ 添加样品: A3-30
  ✓ 添加样品: A3-31
  ✓ 添加样品: A3-32
  ✓ 添加样品: A3-33
  ✓ 添加样品: A3-34
  ✓ 添加样品: A3-35
  ✓ 添加样品: A3-36
  ✓ 添加样品: A3-37
  ✓ 添加样品: A3-38
  ✓ 添加样品: A3-39
  ✓ 添加样品: A3-3
  ✓ 添加样品: A3-40
  ✓ 添加样品: A3-41
  ✓ 添加样品: A3-42
  ✓ 添加样品: A3-43
  ✓ 添加样品: A3-44
  ✓ 添加样品: A3-45
  ✓ 添加样品: A3-46
  ✓ 添加样品: A3-47
  ✓ 添加样品: A3-48
  ✓ 添加样品: A3-49
  ✓ 添加样品: A3-4
  ✓ 添加样品: A3-50
  ✓ 添加样品: A3-51
  ✓ 添加样品: A3-52
  ✓ 添加样品: A3-53
  ✓ 添加样品: A3-54
  ✓ 添加样品: A3-55
  ✓ 添加样品: A3-56
  ✓ 添加样品: A3-57
  ✓ 添加样品: A3-58
  ✓ 添加样品: A3-5
  ✓ 添加样品: A3-6
  ✓ 添加样品: A3-7
  ✓ 添加样品: A3-8
  ✓ 添加样品: A3-9
  ✓ 添加样品: B1-1
  ✓ 添加样品: B1-2
  ✓ 添加样品: B1-3
  ✓ 添加样品: B1-4
  ✓ 添加样品: B1-5
  ✓ 添加样品: B2-1
  ✓ 添加样品: B2-2
  ✓ 添加样品: B2-3
  ✓ 添加样品: B2-4
  ✓ 添加样品: B2-5
  ✓ 添加样品: B2-6
  ✓ 添加样品: B2-7
  ✓ 添加样品: B3-10
  ✓ 添加样品: B3-11
  ✓ 添加样品: B3-12
  ✓ 添加样品: B3-13
  ✓ 添加样品: B3-14
  ✓ 添加样品: B3-15
  ✓ 添加样品: B3-16
  ✓ 添加样品: B3-1
  ✓ 添加样品: B3-2
  ✓ 添加样品: B3-3
  ✓ 添加样品: B3-4
  ✓ 添加样品: B3-5
  ✓ 添加样品: B3-6
  ✓ 添加样品: B3-7
  ✓ 添加样品: B3-8
  ✓ 添加样品: B3-9
  ✓ 添加样品: B4-10
  ✓ 添加样品: B4-11
  ✓ 添加样品: B4-12
  ✓ 添加样品: B4-13
  ✓ 添加样品: B4-14
  ✓ 添加样品: B4-15
  ✓ 添加样品: B4-16
  ✓ 添加样品: B4-17
  ✓ 添加样品: B4-18
  ✓ 添加样品: B4-19
  ✓ 添加样品: B4-1
  ✓ 添加样品: B4-20
  ✓ 添加样品: B4-21
  ✓ 添加样品: B4-22
  ✓ 添加样品: B4-23
  ✓ 添加样品: B4-24
  ✓ 添加样品: B4-25
  ✓ 添加样品: B4-26
  ✓ 添加样品: B4-27
  ✓ 添加样品: B4-28
  ✓ 添加样品: B4-29
  ✓ 添加样品: B4-2
  ✓ 添加样品: B4-30
  ✓ 添加样品: B4-31
  ✓ 添加样品: B4-32
  ✓ 添加样品: B4-33
  ✓ 添加样品: B4-34
  ✓ 添加样品: B4-35
  ✓ 添加样品: B4-36
  ✓ 添加样品: B4-37
  ✓ 添加样品: B4-38
  ✓ 添加样品: B4-39
  ✓ 添加样品: B4-3
  ✓ 添加样品: B4-40
  ✓ 添加样品: B4-41
  ✓ 添加样品: B4-42
  ✓ 添加样品: B4-43
  ✓ 添加样品: B4-44
  ✓ 添加样品: B4-45
  ✓ 添加样品: B4-46
  ✓ 添加样品: B4-47
  ✓ 添加样品: B4-48
  ✓ 添加样品: B4-49
  ✓ 添加样品: B4-4
  ✓ 添加样品: B4-50
  ✓ 添加样品: B4-51
  ✓ 添加样品: B4-52
  ✓ 添加样品: B4-53
  ✓ 添加样品: B4-54
  ✓ 添加样品: B4-5
  ✓ 添加样品: B4-6
  ✓ 添加样品: B4-7
  ✓ 添加样品: B4-8
  ✓ 添加样品: B4-9
  ✓ 添加样品: D1-1
  ✓ 添加样品: D1-2
  ✓ 添加样品: D1-3
  ✓ 添加样品: D1-4
  ✓ 添加样品: D1-5
  ✓ 添加样品: D1-6
  ✓ 添加样品: D2-10
  ✓ 添加样品: D2-11
  ✓ 添加样品: D2-12
  ✓ 添加样品: D2-13
  ✓ 添加样品: D2-14
  ✓ 添加样品: D2-15
  ✓ 添加样品: D2-16
  ✓ 添加样品: D2-17
  ✓ 添加样品: D2-18
  ✓ 添加样品: D2-19
  ✓ 添加样品: D2-1
