正在处理 SNP 文件: variation.filtered.snp.vcf.gz...
SNP 文件处理完成.
正在处理 INDEL 文件: variation.filtered.indel.vcf.gz...
INDEL 文件处理完成.

#CHROM	SAMPLE	SNP_COUNT	INDEL_COUNT	INDEL_TYPE
NC_007957.1	BS01	10	2	insertion
NC_007957.1	BS01	10	3	deletion
NC_012119.1	BS01	327	83	insertion
NC_012119.1	BS01	327	73	deletion
NC_081805.1	BS01	552158	41674	insertion
NC_081805.1	BS01	552158	50549	deletion
NC_081806.1	BS01	376572	25503	insertion
NC_081806.1	BS01	376572	30219	deletion
NC_081807.1	BS01	440708	29481	insertion
NC_081807.1	BS01	440708	37428	deletion
NC_081808.1	BS01	426210	32485	insertion
NC_081808.1	BS01	426210	38843	deletion
NC_081809.1	BS01	581949	41244	insertion
NC_081809.1	BS01	581949	51725	deletion
NC_081810.1	BS01	466373	35149	insertion
NC_081810.1	BS01	466373	43639	deletion
NC_081811.1	BS01	584106	43551	insertion
NC_081811.1	BS01	584106	53551	deletion
NC_081812.1	BS01	469944	36584	insertion
NC_081812.1	BS01	469944	43776	deletion
NC_081813.1	BS01	524378	36132	insertion
NC_081813.1	BS01	524378	47447	deletion
NC_081814.1	BS01	477098	35290	insertion
NC_081814.1	BS01	477098	42579	deletion
NC_081815.1	BS01	373289	26599	insertion
NC_081815.1	BS01	373289	33105	deletion
NC_081816.1	BS01	474522	33997	insertion
NC_081816.1	BS01	474522	41549	deletion
NC_081817.1	BS01	561701	41679	insertion
NC_081817.1	BS01	561701	50743	deletion
NC_081818.1	BS01	488556	35137	insertion
NC_081818.1	BS01	488556	43540	deletion
NC_081819.1	BS01	381892	26018	insertion
NC_081819.1	BS01	381892	32663	deletion
NC_081820.1	BS01	499353	35100	insertion
NC_081820.1	BS01	499353	45619	deletion
NC_081821.1	BS01	226784	15778	insertion
NC_081821.1	BS01	226784	18772	deletion
NC_081822.1	BS01	570675	41849	insertion
NC_081822.1	BS01	570675	51260	deletion
NC_081823.1	BS01	550071	37761	insertion
NC_081823.1	BS01	550071	47327	deletion
NC_007957.1	BS02	10	2	insertion
NC_007957.1	BS02	10	3	deletion
NC_012119.1	BS02	326	80	insertion
NC_012119.1	BS02	326	74	deletion
